dateofdeath,name,age,bio,causeofdeath,,
2016-04-03,Ian Robinson,69,Zimbabwean cricket umpire, lung cancer,,
2016-04-03,Don Francks,84,"Canadian jazz vocalist and actor (La Femme Nikita, Inspector Gadget, I'm Not There)", lung cancer,,
2016-04-03,Robert Guinan,82,American painter, lymphoma,,
2016-04-03,Noh Jin-kyu,23,"South Korean short track speed skater world champion (2011, 2012)", osteosarcoma,,
2016-04-03,Alex de Jess,33,Puerto Rican professional and Olympic lightweight boxer (2004), shot,,
2016-04-03,K_ji Wada,42,"Japanese singer (""Butter-Fly"", ""All of My Mind"")",nasopharynx cancer,,
2016-04-03,Henry Harpending,72,American anthropologist.,,,
2016-04-03,Leopoldo Flores,82,Mexican artist.,,,
2016-04-03,Rowley Habib,82,New Zealand writer.,,,
2016-04-03,"Dick Hodgins, Jr",84,American cartoonist.,,,
2016-04-03,"John Vane, 11th Baron Barnard",92,British peer.,,,
2016-04-03,Bas van Erp,36,"Dutch wheelchair tennis player, Paralympic bronze medalist (2004)",,,
2016-04-03,John C. Baldwin,67,American cardiac surgeon,,,
2016-04-03,Whai Ngata,74,"New Zealand M_ori broadcaster, journalist and lexicographer",,,
2016-04-03,John Waite,74,English footballer (Grimsby Town).,,,
2016-04-03,Lars Gustafsson,79,Swedish writer and scholar.,,,
2016-04-03,Lola Novakovi_,80,Serbian singer.,,,
2016-04-03,Cesare Maldini,84,Italian football player and manager.,,,
2016-04-03,Ward Crutchfield,87,"American politician, member of the Tennessee Senate (19852007)",,,
2016-04-03,Ross Honsberger,87,Canadian mathematician.,,,
2016-04-03,Erik Bauersfeld,93,"American radio dramatist (KPFA) and voice actor (Star Wars, AI Artificial Intelligence, Crimson Peak).",,,
2016-04-03,Clarence Clifton Young,93,"American politician, member of the United States House of Representatives from Nevada's at-large congressional district (19531957), Nevada Senate (19661980) and Supreme Court (19852002).",,,
2016-04-03,Jules Schelvis,95,Dutch historian and Holocaust survivor.,,,
2016-04-03,Joe Medicine Crow,102,American Crow historian.,,,
2016-04-04,Abe Segal,85,South African tennis player, cancer,,
2016-04-04,Shahidul Islam Khokon,59,Bangladeshi filmmaker, motor neuron disease,,
2016-04-04,Ranjan Baindoor,66,Indian cricketer.,,,
2016-04-04,Song Soo-kwon,76,South Korean writer.,,,
2016-04-04,George Radosevich,88,American football player (Baltimore Colts).,,,
2016-04-04,John Miller,68,"American politician, member of the Virginia Senate (since 2008)",,,
2016-04-04,Georgi Hristakiev,71,"Bulgarian footballer, Olympic silver medalist (1968)",,,
2016-04-04,Carlo Mastrangelo,78,American bassist and doo-wop singer (The Belmonts).,,,
2016-04-04,Archie Dees,80,"American basketball player (Cincinnati Royals, Detroit Pistons)",,,
2016-04-04,Getatchew Mekurya,81,Ethiopian jazz saxophonist.,,,
2016-04-04,Jarle Bondevik,81,Norwegian philologist.,,,
2016-04-04,Royston Nash,82,English conductor (D'Oyly Carte Opera Company).,,,
2016-04-04,Chus Lampreave,85,"Spanish actress (Belle poque, Volver)",,,
2016-04-04,Ken Waterhouse,86,"English footballer (Preston North End, Rotherham United)",,,
2016-04-04,Mike Sandlock,100,American baseball player (Brooklyn Dodgers).,,,
2016-04-05,Kerrie Lester,62,Australian painter, leukaemia,,
2016-04-05,Cornel Patrichi,72,"Romanian ballet dancer, choreographer and actor", lung cancer,,
2016-04-05,Zena Latto,90,American jazz saxophonist.,,,
2016-04-05,Michael Earls-Davis,95,English cricketer.,,,
2016-04-05,Frank Wainright,48,"American football player (Miami Dolphins, Baltimore Ravens), NFL champion (2000).",,,
2016-04-05,Ahmed Refai Taha,61,"Egyptian terrorist, leader of al-Gama'a al-Islamiyya",,,
2016-04-05,Zyta Gilowska,66,"Polish politician, Minister of Finance (2006, 2007), Deputy Prime Minister (2006, 2007)., Deputy Prime Minister (2006,,, 2007).",,,
2016-04-05,Ed Johnson,71,American basketball player.,,,
2016-04-05,Leon Haywood,74,American funk and soul singer.,,,
2016-04-05,Barbara Turner,79,"American actress (Soldier Blue) and screenwriter (Georgia, Pollock, The Company).",,,
2016-04-05,Koo Kasapo_lu,80,Turkish footballer.,,,
2016-04-05,Mick Sullivan,82,"English rugby league footballer (Wigan), world champion (1954, 1960).",,,
2016-04-05,John Carlson,82,American sportscaster.,,,
2016-04-05,E. M. Nathanson,88,American author (The Dirty Dozen).,,,
2016-04-05,Roman Gribbs,90,"American politician, Mayor of Detroit (19701974)",,,
2016-04-05,Elsie Morison,91,Australian soprano.,,,
2016-04-05,George Gelaga King,,Sierra Leonean judge.,,,
2016-04-06,Joel Kurtzman,68,American economist, cancer,,
2016-04-06,Dennis Davis,64,"American drummer (David Bowie, Stevie Wonder)", cancer,,
2016-04-06,Pablo Lucio Vasquez,38,American murderer, execution by lethal injection,,
2016-04-06,Merle Haggard,79,"American singer-songwriter (""Okie from Muskogee"", ""The Fightin' Side of Me"", ""Carolyn""). Grammy winner (1984, 1998, 1999).",complications from pneumonia,,
2016-04-06,Ogden Mills Phipps,75,American horse breeder.,,,
2016-04-06,Darrell Hogan,89,American football player (Pittsburgh Steelers).,,,
2016-04-06,Jaime Pedro Gonalves,79,"Mozambican Roman Catholic prelate, Archbishop of Beira (19762012)",,,
2016-04-06,Garry Jones,65,English footballer (Bolton Wanderers).,,,
2016-04-06,Bernd Hoss,76,German football manager.,,,
2016-04-06,Joe Freeman Britt,80,American attorney and death penalty advocate.,,,
2016-04-06,Orison Rudolph Aggrey,89,"American diplomat, Ambassador to the Gambia (19731977), Senegal (19731977) and Romania (19771981).",,,
2016-04-06,Murray Wier,89,"American basketball player (Tri-Cities Blackhawks, Waterloo Hawks)",,,
2016-04-06,Robert MacCrate,94,"American lawyer, President of the American Bar Association (19871988)",,,
2016-04-07,A V. Christie,53,American poet, breast cancer,,
2016-04-07,Hendrikje Fitz,54,German actress (In aller Freundschaft), cancer_,,
2016-04-07,Jimmie Van Zant,59,"American singer, songwriter and guitarist", liver cancer,,
2016-04-07,Adrian Greenwood,42,British art dealer and author, stabbed (body found on this date),,
2016-04-07,Charles Thomas,87,British archaeologist.,,,
2016-04-07,Chuck Waseleski,61,American baseball statistician (Boston Red Sox).,,,
2016-04-07,Theodore van Houten,63,DutchBritish author and journalist.,,,
2016-04-07,Blackjack Mulligan,73,"American professional wrestler (WWWF, JCP, CWF).",,,
2016-04-07,Lszl Brczay,80,"Hungarian chess Grandmaster (FIDE, ICCF)",,,
2016-04-07,Sir John Yocklunn,82,AustralianPapua New Guinean librarian and government advisor.,,,
2016-04-07,Freda Briggs,85,"English-born Australian professor and child protection expert, Senior Australian of the Year (2000)",,,
2016-04-07,Ruth Westbrook,85,English cricket player and coach (national team).,,,
2016-04-07,Marcel Dub,86,Canadian playwright.,,,
2016-04-07,Vladimir Kagan,88,American furniture designer.,,,
2016-04-07,Cyril Edel Leonoff,91,Canadian civil engineer and historian.,,,
2016-04-07,Frank E. Denholm,92,"American politician, member of the United States House of Representatives from South Dakota's 1st congressional district (19711975)",,,
2016-04-07,Carlo Monti,96,"Italian athlete, Olympic bronze medalist (1948)",,,
2016-04-08,Julien Hoferlin,49,Belgian tennis coach (national team), cancer,,
2016-04-08,Mircea Albulescu,81,Romanian actor and writer, heart failure,,
2016-04-08,William Hamilton,76,American cartoonist, traffic collision,,
2016-04-08,Doug France,62,American football player (Los Angeles Rams).,,,
2016-04-08,Phoebus Dhrymes,82,American economist.,,,
2016-04-08,Victoria Chitepo,88,Zimbabwean politician.,,,
2016-04-08,Grace Lotowycz,99,American botanist.,,,
2016-04-08,Scooter,30,"American cat, oldest living cat",,,
2016-04-08,David Dore,75,"Canadian figure skating competitor, judge and official, President (19801984) and Director General (19862004) of the CFSA.",,,
2016-04-08,Charles Hirsch,79,American forensic pathologist.,,,
2016-04-08,Anatol Ciobanu,81,"Moldovan linguist, writer and university professor",,,
2016-04-08,David Swift,85,British actor (Drop the Dead Donkey).,,,
2016-04-08,Fred Middleton,85,English footballer (Lincoln City).,,,
2016-04-08,Dick Alban,87,"American football player (Washington Redskins, Pittsburgh Steelers)",,,
2016-04-08,Elizabeth Roemer,87,American astronomer.,,,
2016-04-08,Wei Chueh,88,"Taiwanese Buddhist monk, founder of the Chung Tai Shan",,,
2016-04-08,George Ilsley,88,Australian football player (Carlton).,,,
2016-04-08,Jack Hammer,90,"American musician and songwriter (""Great Balls of Fire"").",,,
2016-04-08,Harry Apted,90,Fijian cricketer.,,,
2016-04-08,Mildred Gordon,92,"British politician, MP for Bow and Poplar (19871997)",,,
2016-04-08,Paul Fung Jr.,93,American cartoonist (Blondie).,,,
2016-04-08,Edward J. Steimel,94,"American lobbyist and fundraiser, founder of the Louisiana Association of Business and Industry",,,
2016-04-08,Gene Salvay,96,American aircraft engineer.,,,
2016-04-08,Erich Rudorffer,98,German Luftwaffe fighter ace during World War II.,,,
2016-04-08,Nicola Abu Raed, 7677,Lebanese actor and director.,,,
2016-04-09,J. Vinton Lawrence,76,American CIA paramilitary officer, acute myeloid leukemia,,
2016-04-09,Duane Clarridge,83,"American spy (CIA, Eclipse Group)", complications from esophageal cancer,,
2016-04-09,Tony Conrad,76,"American avant-garde musician, composer, video artist and professor (University at Buffalo)", pneumonia,,
2016-04-09,Will Smith,34,"American football player (New Orleans Saints), Super Bowl champion (2010)", shot,,
2016-04-09,Bea Maddock,81,Australian artist.,,,
2016-04-09,Frederic W. Allen,89,American judge.,,,
2016-04-09,Martin Roberts,48,English rugby union player (Gloucester Rugby).,,,
2016-04-09,Patrick J. O'Donnell,68,Scottish academic.,,,
2016-04-09,Lucas Martinez Lara,70,Mexican Roman Catholic prelate,,,
2016-04-09,Juris Ekmanis,74,"Latvian academic, President of Latvian Academy of Sciences (20042012)",,,
2016-04-09,Derrick Rochester,76,"Jamaican politician and trade unionist, MP for South East St Elizabeth (19721980, 19892002), member of the Senate (19801983).",,,
2016-04-09,Arthur Anderson,93,"American actor (Courage the Cowardly Dog, Midnight Cowboy), voice of Lucky Charms leprechaun.",,,
2016-04-09,Frank Baron,93,Dominican politician.,,,
2016-04-09,Finn Hodt,96,Norwegian speed skating competitor and coach.,,,
2016-04-10,Howard Marks,70,"Welsh cannabis smuggler, writer and legalisation campaigner", colorectal cancer,,
2016-04-10,John Ferrone,91,American book editor (The Color Purple), complications from Parkinson's disease,,
2016-04-10,Louis Gladstone,88,American politician.,,,
2016-04-10,Henryk _rednicki,61,"Polish boxer, amateur World Champion (1978)",,,
2016-04-10,Thomas Kwaku Mensah,81,Ghanaian Roman Catholic prelate,,,
2016-04-10,N. H. Wadia,91,Indian neurologist.,,,
2016-04-10,Nicholas Hood,92,"American politician and civil rights activist, Detroit City Councilman (19651993)",,,
2016-04-10,Wayne Southwick,93,American surgeon and academic.,,,
2016-04-11,Ed Snider,83,"American sports executive (Comcast Spectacor, Philadelphia Flyers, Philadelphia 76ers)", bladder cancer,,
2016-04-11,Doug Banks,57,American radio personality (The Doug Banks Radio Show), diabetes,,
2016-04-11,Joo Carvalho,28,Portuguese mixed martial arts fighter, injuries sustained in match,,
2016-04-11,Hokie Gajan,56,American football player and broadcaster (New Orleans Saints), liposarcoma,,
2016-04-11,Veenu Paliwal,44,Indian motorcyclist, traffic collision,,
2016-04-11,Alan Hurd,78,English cricketer.,,,
2016-04-11,Alvin Lubis,37,Indonesian musician.,,,
2016-04-11,Miss Shangay Lily,53,Spanish drag queen.,,,
2016-04-11,Steve Quinn,64,"British rugby league player (York, Featherstone)",,,
2016-04-11,Albert Filozov,78,Russian actor.,,,
2016-04-11,Emile Ford,78,"Saint Lucian singer (""What Do You Want to Make Those Eyes at Me For?"") and sound engineer.",,,
2016-04-11,dgar Perea,81,Colombian politician and football commentator.,,,
2016-04-11,Tony Ayers,82,Australian public servant.,,,
2016-04-11,Peter J. Jannetta,84,American neurosurgeon (Allegheny General Hospital).,,,
2016-04-11,Huntly D. Millar,88,Canadian medical technology executive.,,,
2016-04-11,Yura Halim,92,"Bruneian politician, Chief Minister (19671972) and lyricist (national anthem)",,,
2016-04-11,Richard Ransom,96,American businessman (Hickory Farms).,,,
2016-04-11,Anne Gould Hauberg,98,"American arts patron, founder of the Pilchuck Glass School",,,
2016-04-11,Ruth Gilbert,99,New Zealand poet.,,,
2016-04-11,Dame Marion Kettlewell,102,"British naval officer, Director of the Wrens (19661970)",,,
2016-04-11,"Mohsen Gheytaslou,", 2526,Iranian soldier (65th Airborne Special Forces Brigade).,,,
2016-04-11,A. R. Surendran,,Sri Lankan lawyer,,,
2016-04-12,Tibor Ordina,45,Hungarian track and field athlete, brain cancer,,
2016-04-12,Alexander Kanengoni,65,Zimbabwean writer, heart failure,,
2016-04-12,Aquilino Bonfanti,73,Italian footballer.,,,
2016-04-12,Agha Saleem,81,Pakistani writer.,,,
2016-04-12,Andr Mayamba Mabuti Kathongo,85,Congolese Roman Catholic prelate,,,
2016-04-12,"Hector A. Cafferata, Jr",86,"American soldier, Medal of Honor recipient",,,
2016-04-12,Balls Mahoney,44,"American professional wrestler (ECW, WWE, SMW).",,,
2016-04-12,Toma_ Pandur,53,Slovenian theatre director.,,,
2016-04-12,Gianroberto Casaleggio,61,"Italian entrepreneur, co-founder of Five Star Movement",,,
2016-04-12,David Gest,62,American TV producer (Michael Jackson: 30th Anniversary Special) and reality show contestant (I'm a Celebrity...Get Me Out of Here!).,,,
2016-04-12,James Bond,70,Australian navy officer.,,,
2016-04-12,Pedro de Felipe,71,"Spanish footballer (Real Madrid, Espanyol)",,,
2016-04-12,Gib Guilbeau,78,American musician (The Flying Burrito Brothers) and composer (Boxcar Bertha).,,,
2016-04-12,Sir Arnold Wesker,83,British playwright.,,,
2016-04-12,T_ru _hira,86,"Japanese voice actor (Super Sentai, One Piece)",,,
2016-04-12,Alan Loveday,88,"New Zealand-born British violinist (Royal Philharmonic Orchestra, Academy of St Martin in the Fields)",,,
2016-04-12,Paul Carey,88,American radio broadcaster (Detroit Tigers).,,,
2016-04-12,Said Zahari,88,Singaporean journalist and political prisoner.,,,
2016-04-12,Anne Jackson,90,"American actress (The Shining, Folks!, Dirty Dingus Magee).",,,
2016-04-12,Bryce Jordan,91,"American academic administrator, President of the Pennsylvania State University (19831990)",,,
2016-04-12,Spec Richardson,93,American baseball executive (Houston Astros).,,,
2016-04-12,Robbie Brennan, 68-69,"Irish musician (Skid Row, Auto Da F, Grand Slam).",,,
2016-04-13,Kurtis Haiu,31,"New Zealand rugby union player (Auckland, Blues)", bone cancer,,
2016-04-13,Gareth Thomas,71,"Welsh actor (Blake's 7, Children of the Stones, Star Maidens)", heart failure,,
2016-04-13,Manouchehr Sotodeh,102,Iranian geographer and scholar of Persian literature, lung infection,,
2016-04-13,Jackie Carter,62,American children's author, lymphoma,,
2016-04-13,Earl B. Hunt,83,American psychologist.,,,
2016-04-13,Mrton Balzs,86,Romanian mathematician.,,,
2016-04-13,Srinivas Aravamudan,54,Indian-born British academic.,,,
2016-04-13,Nuri Gezerdaa,56,Abkhaz politician.,,,
2016-04-13,Jock Scot,64,Scottish poet and recording artist.,,,
2016-04-13,Sayed Zayan,72,Egyptian actor.,,,
2016-04-13,Jeremy Steig,73,American jazz flutist.,,,
2016-04-13,Pete Yellin,74,American jazz saxophonist and educator.,,,
2016-04-13,Gwyn Thomas,79,"Welsh poet and academic, National Poet (20062008)",,,
2016-04-13,Nera White,80,American Hall of Fame basketball player.,,,
2016-04-13,Matthias Joseph Isuja,86,Tanzanian Roman Catholic prelate,,,
2016-04-13,Ray Thornton,87,"American attorney and politician, member of the United States House of Representatives from Arkansas's 4th and 2nd congressional districts (19731979, 19911997).",,,
2016-04-13,Rex Patterson,89,"Australian politician, MP for Dawson (19661975)",,,
2016-04-13,Julio Garcia Espinosa,89,Cuban film director and screenwriter (The Adventures of Juan Quin Quin).,,,
2016-04-13,Eeti Nieminen,89,Finnish Nordic skier.,,,
2016-04-13,Robert W. Lundeen,94,American executive (Tektronix).,,,
2016-04-13,Mariano Mores,98,Argentine tango composer and pianist.,,,
2016-04-13,Bernard B. Wolfe,101,"American politician, member of the Illinois House of Representatives (19651974)",,,
2016-04-14,Rod Reyes,80,Filipino broadcast executive and journalist (The Standard), heart failure,,
2016-04-14,Phil Sayer,62,British voice artist, oesophageal cancer,,
2016-04-14,Carl M. Vogel,61,"American politician, member of the Missouri Senate (20032011)", pancreatic cancer,,
2016-04-14,Sir David MacKay,48,"British author, physicist and professor (University of Cambridge)", stomach cancer,,
2016-04-14,Dan Ireland,57,"Canadian-born American film producer and director (Jolene, The Whole Wide World, Mrs. Palfrey at the Claremont).",,,
2016-04-14,Francesco Guarraci,61,Italian-born American mobster.,,,
2016-04-14,James W. Huston,62,American author and lawyer.,,,
2016-04-14,Ahmed Brahim,69,Tunisian politician.,,,
2016-04-14,Ron Theobald,72,American baseball player (Milwaukee Brewers).,,,
2016-04-14,Martin Fitzmaurice,75,English darts personality.,,,
2016-04-14,Nguyen Anh 9,76,Vietnamese songwriter and pianist.,,,
2016-04-14,David Collischon,78,British executive (Filofax).,,,
2016-04-14,Hector Hatch,80,"Fijian boxer (1956 Olympics), politician and civil servant",,,
2016-04-14,Malick Sidib,80,Malian photographer.,,,
2016-04-14,Colin Knight,81,"New Zealand educationalist, principal of Christchurch Teachers' College (19861995)",,,
2016-04-14,Ilija Ivezi_,89,"Croatian film actor (Last of the Renegades, The Golden Years, Marshal Tito's Spirit).",,,
2016-04-14,Fred Hayman,90,"Swiss-born American fashion retailer (Giorgio Beverly Hills) and entrepreneur, helped develop Rodeo Drive",,,
2016-04-14,Liang Sili,91,"Chinese missile control scientist and academician (Chinese Academy of Sciences), vice-president of the International Astronautical Federation",,,
2016-04-14,Xu Caidong,97,"Chinese metallurgist and academician (Chinese Academy of Sciences), vice-governor of Guizhou",,,
2016-04-14,Gaetano Gagliano,98,Canadian entrepreneur.,,,
2016-04-15,Lars-Inge Svartenbrandt,70,Swedish criminal, apartment fire,,
2016-04-15,Anne Grommerch,45,French politician member of the National Assembly (since 2008) Mayor of Thionville (since 2014), breast cancer,,
2016-04-15,Morag Siller,46,"British actress (Emmerdale, Memphis Belle, Casualty)", breast cancer,,
2016-04-15,Laura Liu,49,"American state judge, Cook County Circuit Court judge (20102014), Illinois Appellate Court judge (since 2014)", breast cancer,,
2016-04-15,Richard Smith,84,British painter, heart failure,,
2016-04-15,Byrle Klinck,81,Canadian ice hockey player.,,,
2016-04-15,"Orville Gilbert Brim, Jr",93,American social psychologist.,,,
2016-04-15,A. A. Raiba,94,Indian painter.,,,
2016-04-15,Guy Woolfenden,78,English composer and conductor.,,,
2016-04-15,Louis Van Geyt,88,"Belgian politician, chairman of Communist Party of Belgium (19721989)",,,
2016-04-15,Harold Shillinglaw,88,Australian football player and cricketer.,,,
2016-04-15,Frederick Mayer,94,German-born American spy (OSS).,,,
2016-04-16,Rod Daniel,73,"American film director (Teen Wolf, K-9, WKRP in Cincinnati)", Parkinson's disease,,
2016-04-16,Rubn Mendoza Ayala,55,Mexican politician.,,,
2016-04-16,Helmut Rohde,90,German politician.,,,
2016-04-16,Donald B. Easum,92,American diplomat.,,,
2016-04-16,David R. Brown,93,American computer scientist.,,,
2016-04-16,Ilias Polatidis,50,Greek politician.,,,
2016-04-16,Muhammad Ayyub,64,Saudi Arabian imam and Islamic scholar.,,,
2016-04-16,Peter Rock,70,Austrian-born Chilean rock musician.,,,
2016-04-16,Ron Bonham,73,"American basketball player (Boston Celtics, Indiana Pacers), NBA champion (1965, 1966).",,,
2016-04-16,Louis Pilot,75,"Luxembourgian football player (Fola Esch, Standard Lige, Royal Antwerp) and manager (national team).",,,
2016-04-16,Ismael Quintana,78,Puerto Rican singer and composer.,,,
2016-04-16,Kit West,79,"British special effects artist (Raiders of the Lost Ark, Dragonheart, Enemy at the Gates), Oscar winner (1982).",,,
2016-04-16,Charlie Hodge,82,"Canadian ice hockey player (Montreal Canadiens, Vancouver Canucks) and scout, NHL champion (1956, 1958, 1959, 1960, 1965, 1966).",,,
2016-04-16,Jeanette Bonnier,82,"Swedish media proprietor (Bonnier Group), journalist (Expressen) and author",,,
2016-04-16,Guan Guangfu,84,"Chinese politician, Communist Party Chief of Hubei",,,
2016-04-16,Clarence James,84,"Bermudian politician, Deputy Premier (19831989)",,,
2016-04-16,Maurice Kenny,86,"American poet, heart ailment and kidney failure",,,
2016-04-16,William M. Gray,86,American meteorologist.,,,
2016-04-16,Miloud Chaabi,86,Moroccan businessman.,,,
2016-04-16,Bernhard Hassenstein,93,German biologist and behaviorist.,,,
2016-04-16,U Pandita,94,Burmese Buddhist monk and meditation teacher.,,,
2016-04-16,Nathanael Orr,98,"Australian politician, member of the New South Wales Legislative Council (19761984)",,,
2016-04-17,Scott Nimerfro,54,"American writer and producer (Hannibal, Once Upon a Time, X-Men)", angiosarcoma,,
2016-04-17,Tiga Bayles,62,Australian radio presenter and indigenous rights activist, cancer,,
2016-04-17,Toshiro Konishi,63,"Japanese-born Peruvian chef, pioneer of Japanese cuisine in Lima", cancer,,
2016-04-17,Bruce Mansfield,71,Australian radio and television personality, prostate cancer,,
2016-04-17,Doris Roberts,90,"American actress (Everybody Loves Raymond, Remington Steele, Christmas Vacation)", stroke,,
2016-04-17,Tr_n Ph__c Th_,23,Vietnamese footballer (Long An U23 national team),traffic collision,,
2016-04-17,Nicolas Tikhomiroff,89,French photographer.,,,
2016-04-17,Sergey Malyutin,30,Russian footballer (FC Kaluga).,,,
2016-04-17,Luis Horacio Gomez Gonzlez,57,"Colombian Roman Catholic prelate, Vicar Apostolic of Puerto Gaitn (20142016)",,,
2016-04-17,Kong Bunchhoeun,77,Cambodian author and songwriter.,,,
2016-04-17,Bob Charles,79,"American-born Australian politician, MP for La Trobe (19902004)",,,
2016-04-17,Anthony Keane,87,American Olympic fencer (1968).,,,
2016-04-17,Bettye Caldwell,91,American educator (University of Arkansas at Little Rock) and child-development campaigner (NAEYC).,,,
2016-04-17,Constantine Papastephanou,92,"Syrian Eastern Orthodox prelate, Metropolitan of Baghdad and Kuwait (1969-2014)",,,
2016-04-17,Clifton C. Garvin,94,"American businessman, CEO of Exxon (19751986)",,,
2016-04-18,Karina Huff,55,"British actress (The House of Clocks, Time for Loving, Voices from Beyond) and television personality", breast cancer,,
2016-04-18,William Campbell,75,American business executive (Apple) and college football coach (Columbia University), cancer,,
2016-04-18,Guy Prather,58,American football player (Green Bay Packers).,,,
2016-04-18,"Adrian Berry, 4th Viscount Camrose",78,British journalist.,,,
2016-04-18,Paul Busiek,93,American politician.,,,
2016-04-18,"Charles J. Pilliod, Jr",97,"American business executive and diplomat, Ambassador to Mexico (19861989)",,,
2016-04-18,Rubn Hctor di Monte,84,"Argentinian Roman Catholic prelate, Archbishop of Mercedes-Lujn (20002007)",,,
2016-04-18,Brian Asawa,49,American opera singer.,,,
2016-04-18,Arnulfo Mejia Rojas,59,Mexican architect and Catholic priest.,,,
2016-04-18,Barry Davies,71,British soldier and author.,,,
2016-04-18,Cox Habbema,72,"Dutch actress, theater director and manager",,,
2016-04-18,Zoltn Szarka,73,"Hungarian football player and coach, Olympic champion (1968)",,,
2016-04-18,Robert Christophe,78,"French swimmer, European champion (1958, 1962).",,,
2016-04-18,Proverb Jacobs,80,"American footballer (Philadelphia Eagles, New York Giants)",,,
2016-04-18,Tao Siju,81,"Chinese politician, minister of Public Security",,,
2016-04-18,Hugh Faulkner,83,"Canadian politician, MP for Peterborough (19651979)",,,
2016-04-18,Johan van Minnen,83,"Dutch journalist and politician, member of the European Parliament (19791984)",,,
2016-04-18,Yuri Bychkov,84,Russian art historian.,,,
2016-04-18,Fritz Herkenrath,87,German footballer (Rot-Weiss Essen).,,,
2016-04-18,Gert Schramm,87,German Holocaust survivor.,,,
2016-04-18,Fulvio Roiter,89,"Italian photographer, Prix Nadar winner (1956)",,,
2016-04-18,Vladimir Nemukhin,90,Russian painter (Bulldozer Exhibition).,,,
2016-04-18,Ben-Zion Gold,92,Polish-born American rabbi.,,,
2016-04-18,Pl Sajg,93,Hungarian cross country skier and biathlete.,,,
2016-04-18,Eva Henning,95,Swedish stage and movie actress.,,,
2016-04-18,"Sir John Leslie, 4th Baronet",99,Anglo-Irish aristocrat and media personality.,,,
2016-04-18,Marwan Dudin, 7980,"Jordanian politician, Minister of Agriculture (19801984) and Minister of State for the Occupied Territory Affairs (19861988)",,,
2016-04-19,Estelle Balet,21,"Swiss snowboarder, world champion (2015, 2016)", avalanche,,
2016-04-19,Ronit Elkabetz,51,Israeli actress and film director (Gett: The Trial of Viviane Amsalem), cancer,,
2016-04-19,Pete Zorn,65,"American musician (Steeleye Span, Richard Thompson, The Albion Band)", cancer,,
2016-04-19,Mehrdad Oladi,30,Iranian footballer (Malavan), heart attack,,
2016-04-19,Billy Redmayne,25,Manx motorcycle racer, race collision,,
2016-04-19,Igor Volchok,84,Russian football manager.,,,
2016-04-19,Richard Lyons,57,"American musician (Negativland), nodular melanoma",,,
2016-04-19,Errikos Belies,66,Greek translator and poet.,,,
2016-04-19,Harry Elderfield,72,British geochemist and professor (University of Cambridge).,,,
2016-04-19,Milt Pappas,76,"American baseball player (Baltimore Orioles, Cincinnati Reds, Chicago Cubs).",,,
2016-04-19,Karl-Heinz von Hassel,77,German actor.,,,
2016-04-19,Dud Beattie,81,Australian rugby league footballer (Queensland).,,,
2016-04-19,Lord Tanamo,81,Jamaican ska and mento musician.,,,
2016-04-19,Gerasimos Arsenis,84,"Greek politician, Minister for National Defense (19931996) and National Education and Religious Affairs (19962000)",,,
2016-04-19,John McConathy,86,"American basketball player (Milwaukee Hawks, Northwestern State)",,,
2016-04-19,Russell Dove,87,Australian sports shooter.,,,
2016-04-19,Dorothy R. Burnley,89,"American politician, member of the North Carolina General Assembly (19801984)",,,
2016-04-19,Walter Kohn,93,"Austrian-born American theoretical physicist, Nobel laureate (1998)",,,
2016-04-19,Patricio Aylwin,97,"Chilean politician, President (19901994)",,,
2016-04-20,Dwayne Washington,52,"American basketball player (New Jersey Nets, Miami Heat, Syracuse University)", brain cancer,,
2016-04-20,Qi Benyu,85,Chinese politician and propagandist, cancer,,
2016-04-20,Victoria Wood,62,"British comedian and actress (New Faces, Victoria Wood As Seen on TV, Dinnerladies)", cancer,,
2016-04-20,Attila zdemiro_lu,73,Turkish composer, lung cancer,,
2016-04-20,Chyna,46,American professional wrestler (WWF) and actress (1 Night in China 3rd Rock from the Sun Cougar Club).,drug overdose,,
2016-04-20,Giannis Voglis,78,Greek actor.,,,
2016-04-20,Yu Songlie,95,"Chinese agricultural scientist, educator and academician (Chinese Academy of Engineering)",,,
2016-04-20,Dame Leonie Kramer,91,"Australian academic, author and university administrator",,,
2016-04-20,Solly Pandor,58,Zambian football manager.,,,
2016-04-20,Jack Tafari,69,British activist.,,,
2016-04-20,Avril Henry,81,British academic.,,,
2016-04-20,Velda Gonzlez,83,Puerto Rican actress and politician.,,,
2016-04-20,Guy Hamilton,93,"French-born British film director (James Bond, Battle of Britain, Evil Under the Sun).",,,
2016-04-20,Harry Perkowski,93,"American baseball player (Chicago Cubs, Cincinnati Reds)",,,
2016-04-20,"Solomon Blatt, Jr",94,"American federal judge, US District Court for South Carolina (since 1971)",,,
2016-04-20,Cynthia Cooke,96,"British nurse, Matron-in-Chief of the Queen Alexandra's Royal Naval Nursing Service (19731976)",,,
2016-04-21,Toshio Mashima,67,Japanese composer, cancer,,
2016-04-21,Prince,57,"American musician, songwriter (""Purple Rain"", ""Little Red Corvette"") and actor, Oscar (1984) and Grammy (1984 1986, 2004, 2007) winner.",accidental overdose of fentanyl,,
2016-04-21,Smoke Glacken,22,"American Thoroughbred racehorse, winner of the 2001 Kentucky Derby",,,
2016-04-21,Nade Haley,68,American artist.,,,
2016-04-21,Marco Leto,85,"Italian film and television director (Black Holiday, Al piacere di rivederla)",,,
